URL,Repo,pom-check,PR,merged
https://github.com/Devskiller/jfairy,Devskiller/jfairy,include-Pom,72,66
https://github.com/littleMeng/video-live,littleMeng/video-live,none,0,0
https://github.com/smuyyh/SprintNBA,smuyyh/SprintNBA,none,2,2
https://github.com/apache/griffin,apache/griffin,include-Pom,567,4
https://github.com/GeekZooStudio/ECMobile_Android,GeekZooStudio/ECMobile_Android,none,0,0
https://github.com/glomadrian/velocimeter-view,glomadrian/velocimeter-view,none,1,1
https://github.com/AleBarreto/DragRecyclerView,AleBarreto/DragRecyclerView,none,2,2
https://github.com/heinrichreimer/material-drawer,heinrichreimer/material-drawer,none,13,4
https://github.com/graalvm/sulong,graalvm/sulong,none,748,602
https://github.com/snakerflow/snakerflow,snakerflow/snakerflow,include-Pom,2,2
https://github.com/republique-et-canton-de-geneve/chvote-1-0,republique-et-canton-de-geneve/chvote-1-0,none,20,16
https://github.com/neevek/Paginize,neevek/Paginize,none,3,2
https://github.com/beworker/tinybus,beworker/tinybus,none,18,4
https://github.com/RiccardoMoro/FreeDrawView,RiccardoMoro/FreeDrawView,none,8,8
https://github.com/alamkanak/android-empty-layout,alamkanak/android-empty-layout,none,1,1
https://github.com/yatoooon/AndroidScreenAdaptation,yatoooon/AndroidScreenAdaptation,none,3,3
